11/10/2022  10:01 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-2.92	-1.900	0.000
2	-2.92	-1.900	0.049
3	-0.46	-1.860	0.232
4	-0.46	-1.860	0.249
5	-0.46	-1.860	0.299
6	-2.88	-1.820	0.350
7	-2.80	-1.660	0.399
8	-2.32	-1.520	0.450
9	-2.08	-1.340	0.499
10	-1.86	-1.180	0.549
11	-1.44	-1.000	0.599
12	-1.26	-0.860	0.649
13	-1.08	-0.680	0.699
14	-0.88	-0.500	0.749
15	-0.54	-0.340	0.799
16	-0.38	-0.160	0.849
17	-0.34	-0.020	0.899
18	-0.30	0.140	0.949
19	-0.22	0.320	0.999
20	-0.08	0.480	1.049
21	0.04	0.660	1.099
22	0.30	0.800	1.149
23	0.44	0.980	1.199
24	0.56	1.160	1.249
25	0.66	1.320	1.299
26	0.80	1.480	1.349
27	0.84	1.640	1.399
28	0.90	1.820	1.449
29	1.04	1.980	1.499
30	1.12	2.140	1.549
31	1.18	2.320	1.599
32	1.26	2.480	1.650
33	1.44	2.660	1.699
34	1.52	2.800	1.750
35	1.54	2.980	1.799
36	1.36	3.140	1.849
37	1.30	3.320	1.900
38	1.34	3.500	1.950
39	1.42	3.640	1.999
40	1.48	3.820	2.049
41	1.54	3.980	2.099
42	1.62	4.160	2.149
43	1.76	4.300	2.200
44	1.84	4.480	2.250
45	1.92	4.660	2.299
46	2.00	4.820	2.349
47	2.16	5.000	2.400
48	2.24	5.140	2.449
49	2.32	5.320	2.500
50	2.46	5.480	2.550
51	2.56	5.660	2.600
52	2.64	5.840	2.649
53	2.70	5.980	2.700
54	2.88	6.160	2.749
55	2.98	6.320	2.799
56	3.06	6.500	2.850
57	3.16	6.640	2.900
58	3.36	6.820	2.949
59	3.44	6.980	3.000
60	3.56	7.160	3.050
61	3.74	7.340	3.099
62	3.84	7.500	3.149
63	3.92	7.660	3.199
64	4.04	7.820	3.249
65	4.22	8.000	3.300
66	4.32	8.140	3.349
67	4.42	8.320	3.400
68	4.64	8.500	3.449
69	4.74	8.660	3.500
70	4.84	8.820	3.549
71	4.94	9.000	3.600
72	5.14	9.160	3.649
73	5.26	9.340	3.699
74	5.36	9.480	3.749
75	5.46	9.660	3.799
76	5.68	9.820	3.849
77	5.78	10.000	3.900
78	5.88	10.180	3.949
79	6.10	10.320	4.000
80	6.20	10.500	4.049
81	6.32	10.660	4.099
82	6.42	10.840	4.150
83	6.64	10.980	4.200
84	6.74	11.160	4.250
85	6.86	11.320	4.300
86	7.06	11.500	4.350
87	7.16	11.680	4.400
88	7.28	11.820	4.450
89	7.40	12.000	4.499
90	7.62	12.160	4.549
91	7.74	12.340	4.599
92	7.86	12.520	4.649
93	8.06	12.660	4.700
94	8.16	12.840	4.749
95	8.28	13.000	4.799
96	8.40	13.180	4.849
97	8.62	13.320	4.900
98	8.74	13.500	4.949
99	8.78	13.660	4.999
100	7.98	13.840	5.049
101	0.36	14.020	5.099
102	0.06	14.180	5.149
103	0.02	14.340	5.199
104	0.00	14.500	5.249
105	0.00	14.680	5.299
106	0.00	14.820	5.349
107	0.02	15.000	5.399
108	0.02	15.180	5.450
109	0.02	15.360	5.499
110	0.02	15.500	5.549
111	0.00	15.680	5.599
112	0.02	15.840	5.649
113	0.00	16.020	5.699
114	0.02	16.160	5.750
115	0.02	16.340	5.799
116	0.00	16.520	5.849
117	0.00	16.680	5.899
118	0.00	16.860	5.949
119	0.00	17.000	6.000
120	0.00	17.180	6.049
121	0.00	17.340	6.099
122	0.02	17.520	6.149
123	0.00	17.660	6.199
124	0.02	17.840	6.249
125	0.02	18.020	6.299
126	0.00	18.180	6.350
127	0.00	18.360	6.400
128	0.02	18.500	6.449
129	0.00	18.680	6.500
130	0.00	18.860	6.550
131	0.02	19.020	6.600
132	0.00	19.200	6.650
133	0.00	19.340	6.699
134	0.00	19.520	6.749
135	0.00	19.680	6.799
136	0.02	19.860	6.849
137	0.02	20.000	6.899
138	0.00	20.180	6.950
139	0.02	20.360	6.999
140	0.00	20.540	7.049
141	0.00	20.700	7.099
142	0.00	20.840	7.149
143	0.00	21.020	7.199
144	0.02	21.180	7.250
145	0.02	21.360	7.300
146	0.00	21.520	7.349
147	0.00	21.680	7.399
148	0.00	21.860	7.449
149	0.00	22.040	7.500
150	0.00	22.180	7.550
151	0.00	22.360	7.599
152	0.00	22.520	7.649
153	0.00	22.700	7.700
154	0.00	22.880	7.750
155	0.02	23.020	7.799
156	0.00	23.200	7.849
157	0.02	23.360	7.899
158	0.00	23.540	7.949
159	0.00	23.680	7.999
160	0.00	23.860	8.049
161	0.00	24.020	8.099
162	0.00	24.200	8.149
163	0.00	24.380	8.199
164	0.00	24.520	8.249
165	0.00	24.680	8.299
166	0.00	24.840	8.349
167	0.00	25.000	8.399
168	0.02	25.160	8.449
169	0.02	25.340	8.499
170	0.00	25.520	8.549
171	0.00	25.660	8.599
172	0.00	25.840	8.650
