11/10/2022  10:40 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-1.40	-1.740	0.000
2	-1.40	-1.740	0.049
3	-0.32	-1.740	0.248
4	-0.32	-1.740	0.298
5	-1.34	-1.720	0.349
6	-1.26	-1.620	0.399
7	-1.04	-1.440	0.449
8	-0.46	-1.280	0.498
9	-0.32	-1.100	0.549
10	-0.26	-0.920	0.599
11	-0.04	-0.780	0.649
12	0.38	-0.600	0.699
13	0.56	-0.420	0.749
14	0.72	-0.260	0.798
15	0.98	-0.100	0.849
16	1.10	0.040	0.898
17	1.22	0.220	0.949
18	1.30	0.400	0.998
19	1.50	0.540	1.048
20	1.60	0.720	1.098
21	1.70	0.880	1.148
22	1.88	1.060	1.198
23	1.96	1.200	1.248
24	2.08	1.380	1.299
25	2.18	1.540	1.348
26	2.38	1.720	1.398
27	2.38	1.860	1.448
28	2.38	2.040	1.498
29	2.54	2.220	1.548
30	2.66	2.380	1.598
31	2.78	2.560	1.648
32	2.84	2.700	1.698
33	3.10	2.880	1.748
34	3.24	3.040	1.798
35	3.38	3.220	1.848
36	3.44	3.400	1.898
37	3.72	3.540	1.948
38	3.88	3.720	1.998
39	4.02	3.880	2.048
40	4.26	4.060	2.098
41	4.36	4.200	2.148
42	4.52	4.380	2.198
43	4.70	4.560	2.248
44	4.98	4.720	2.298
45	5.18	4.900	2.348
46	5.36	5.040	2.399
47	5.66	5.220	2.448
48	5.82	5.380	2.498
49	6.00	5.560	2.548
50	6.12	5.700	2.598
51	6.50	5.880	2.648
52	6.70	6.060	2.699
53	6.88	6.240	2.748
54	7.02	6.400	2.799
55	7.44	6.560	2.848
56	7.64	6.720	2.898
57	7.76	6.880	2.949
58	8.16	7.060	2.998
59	8.30	7.200	3.049
60	8.50	7.400	3.098
61	8.72	7.560	3.148
62	9.14	7.740	3.198
63	9.36	7.880	3.248
64	9.50	8.060	3.298
65	9.90	8.220	3.348
66	10.08	8.400	3.398
67	10.24	8.580	3.448
68	10.48	8.720	3.498
69	10.90	8.900	3.548
70	11.12	9.060	3.598
71	11.26	9.240	3.648
72	11.66	9.380	3.698
73	11.84	9.560	3.748
74	12.04	9.720	3.798
75	12.16	9.900	3.848
76	12.48	10.080	3.898
77	7.32	10.220	3.949
78	7.88	10.400	3.998
79	8.04	10.560	4.049
80	8.66	10.740	4.098
81	8.98	10.880	4.148
82	9.32	11.060	4.199
83	10.00	11.240	4.249
84	10.34	11.400	4.299
85	10.68	11.580	4.348
86	10.98	11.720	4.398
87	11.62	11.900	4.448
88	11.96	12.060	4.498
89	12.26	12.240	4.548
90	12.80	12.420	4.598
91	13.04	12.560	4.649
92	13.26	12.740	4.698
93	13.40	12.920	4.748
94	13.60	13.080	4.798
95	13.50	13.220	4.849
96	12.32	13.400	4.898
97	9.10	13.580	4.948
98	8.62	13.760	4.998
99	8.42	13.900	5.048
100	8.34	14.080	5.099
101	8.44	14.240	5.148
102	8.54	14.420	5.198
103	8.66	14.560	5.248
104	8.76	14.740	5.298
105	8.78	14.900	5.348
106	8.72	15.080	5.398
107	8.64	15.220	5.449
108	8.12	15.400	5.498
109	7.80	15.560	5.548
110	7.48	15.740	5.598
111	7.20	15.920	5.649
112	6.12	16.060	5.698
113	6.06	16.240	5.748
114	5.80	16.420	5.798
115	5.20	16.580	5.848
116	5.14	16.760	5.898
117	5.04	16.900	5.948
118	-0.06	17.080	5.998
119	0.06	17.240	6.048
120	0.02	17.360	6.098
121	0.02	17.360	6.148
122	0.02	17.360	6.198
123	0.02	17.360	6.248
124	0.02	17.360	6.298
125	0.02	17.360	6.348
126	0.02	17.360	6.398
127	0.02	17.360	6.448
128	0.02	17.360	6.499
129	0.02	17.360	6.549
130	0.02	17.360	6.599
131	0.02	17.360	6.648
132	0.02	17.360	6.699
133	0.02	17.360	6.748
134	0.02	17.360	6.798
135	0.02	17.360	6.849
136	0.02	17.360	6.898
137	0.02	17.360	6.948
138	0.02	17.360	6.999
139	0.02	17.360	7.048
